community_name,plate,site,age,building_density,building_type,house_count,building_count,green_rate,avr_price,develop_company,lat,lng,address,community_id,growth,,,,,,,,,,,,,,,,,,,,,,,,,
紫薇和苑,外高桥,外高桥,9,0.78,Null,366,39,35,36902,上海新高桥开发有限公司,31.3418,121.583,{莱阳路4279弄},5.01E+12,0.256593739,,,,,,,,,,,,,,,,,,,,,,,,,
紫薇阁,闸北公园,闸北公园,13,2.2,Null,218,9,40,59962,上海申地房产开发有限公司,31.2713,121.469,{和田路229弄},5.01E+12,0.36477046,,,,,,,,,,,,,,,,,,,,,,,,,
紫薇二村,华漕,华漕,16,1.5,Null,300,28,36,27493,上海五心房地产有限公司,31.2103,121.303,{北翟路5259弄},5.01E+12,0.255817475,,,,,,,,,,,,,,,,,,,,,,,,,
紫藤苑,康健,康健,15,1.98,Null,276,13,41,77816,上海丰苑房地产有限公司,31.1561,121.418,{桂平路88弄},5.01E+12,0.46279433,,,,,,,,,,,,,,,,,,,,,,,,,
紫藤园,南门,南门,Null,0,板楼,25,1,0,20403,暂无信息,31.2994,120.629,{人民路与竹辉路交界处},2.40E+14,0.275141711,,,,,,,,,,,,,,,,,,,,,,,,,
紫藤一村,梅陇,梅陇,23,0.4,Null,796,71,38,39698,上海申亚房地产有限公司,31.1396,121.415,{紫藤一村},5.01E+12,0.223066078,,,,,,,,,,,,,,,,,,,,,,,,,
紫藤新园,老闵行,老闵行,15,1.2,Null,698,63,37,25264,上海闵行房地产发展有限公司,31.014,121.406,{东川路2759弄},5.01E+12,0.035184689,,,,,,,,,,,,,,,,,,,,,,,,,
紫藤居（公寓）,龙柏,龙柏,12,1.1,Null,244,8,42,54823,上海天勇置业有限公司,31.1773,121.371,{紫藤路99弄},5.01E+12,0.282270953,,,,,,,,,,,,,,,,,,,,,,,,,
紫藤居（别墅）,龙柏,龙柏,12,1.1,Null,8,9,42,84666,上海天勇置业有限公司,31.177,121.371,{紫藤路99弄},5.01E+12,0.282270555,,,,,,,,,,,,,,,,,,,,,,,,,
紫藤佳苑,东外滩,东外滩,13,2.3,Null,76,6,32,49088,上海科事发房地产有限公司,31.2677,121.531,{江浦路727弄},5.01E+12,0.473844132,,,,,,,,,,,,,,,,,,,,,,,,,
紫藤二村,梅陇,梅陇,22,1.9,Null,378,22,35,40260,天津紫藤投资有限公司,31.1371,121.419,{紫藤二村},5.01E+12,0.257037627,,,,,,,,,,,,,,,,,,,,,,,,,
紫腾苑,彭浦,彭浦,17,2.2,Null,211,22,30,49790,上海物资集团房地产有限公司,31.3125,121.47,{场中路1177弄},5.01E+12,0.337105716,,,,,,,,,,,,,,,,,,,,,,,,,
紫罗兰家苑,控江路,控江路,11,2.5,Null,669,20,36,70552,上海永锋房地产开发有限公司,31.2877,121.534,{延吉中路365弄},5.01E+12,0.381958014,,,,,,,,,,,,,,,,,,,,,,,,,
紫罗兰花苑,老闵行,老闵行,15,0,Null,82,9,0,24224,上海闵行房地集团有限公司,31.0069,121.427,{兰坪路136弄},5.01E+12,0.324088426,,,,,,,,,,,,,,,,,,,,,,,,,
紫兰苑,不夜城,不夜城,16,3.43,Null,616,36,30,57767,上海紫兰房地产有限责任公司,31.262,121.462,"{普善路128弄,中华新路939弄}",5.01E+12,0.286127203,,,,,,,,,,,,,,,,,,,,,,,,,
紫菊新苑,西渡,西渡,9,0,Null,179,17,0,19192,暂无信息,30.9985,121.445,{西闸公路1358弄},5.01E+12,0.282331254,,,,,,,,,,,,,,,,,,,,,,,,,
紫晶苑,张江,张江,9,1.2,Null,1704,85,40,37124,上海建工集团,31.1804,121.63,{孙农路398弄},5.01E+12,0.368578836,,,,,,,,,,,,,,,,,,,,,,,,,
紫晶南园,吴泾,吴泾,11,1.3,Null,2250,147,35,28821,上海紫都置业发展有限公司,31.0428,121.479,{广南路666弄},5.01E+12,0.357542671,,,,,,,,,,,,,,,,,,,,,,,,,
紫菁庭,临港新城,临港新城,Null,1.4,板楼,614,117,35,20599,Null,30.8777,121.862,{港辉路528弄},5.01E+12,0.455957747,,,,,,,,,,,,,,,,,,,,,,,,,
紫荆园,康健,康健,18,3.8,Null,342,33,48,52119,上海市上投房地产有限公司,31.1635,121.418,{钦州南路768弄},5.01E+12,0.154795648,,,,,,,,,,,,,,,,,,,,,,,,,
紫荆一村,安亭,安亭,11,3.2,Null,94,61,20,28218,上海新申房产建设有限公司,31.297,121.173,{泽普路99弄},5.01E+12,0.462758337,,,,,,,,,,,,,,,,,,,,,,,,,
紫荆新苑,世博滨江,世博滨江,18,2,Null,694,58,30,66289,上海金刚房地产开发公司,31.1986,121.484,{鲁班路778弄1-60号},5.01E+12,0.290372279,,,,,,,,,,,,,,,,,,,,,,,,,
紫荆四村,安亭,安亭,27,2.14,Null,908,71,35,20203,暂无信息,31.2978,121.172,{紫荆四村},5.01E+12,0.200268913,,,,,,,,,,,,,,,,,,,,,,,,,
紫荆三村,安亭,安亭,17,0,板楼,328,34,0,18882,暂无信息,31.2988,121.17,"{紫荆三村,泽普路108弄}",5.01E+12,0.179172756,,,,,,,,,,,,,,,,,,,,,,,,,
紫荆公寓,南桥,南桥,Null,2.3,Null,20,2,43,14147,南桥房产开发有限公司,30.9164,121.462,{南亭公路68号},5.01E+12,0.358954501,,,,,,,,,,,,,,,,,,,,,,,,,
紫荆二村,安亭,安亭,24,2.12,Null,576,49,40,19672,暂无信息,31.2978,121.171,{泽普路175弄},5.01E+12,0.21247397,,,,,,,,,,,,,,,,,,,,,,,,,
紫金苑,豫园,豫园,19,4.3,Null,36,2,21,49996,暂无信息,31.2251,121.497,{河南南路612弄28号},5.01E+12,0.016317309,,,,,,,,,,,,,,,,,,,,,,,,,
